,0,1
0,1.0," Get a kick out of our huge annuity bonuses!=09
 Earn a $1,000 cash bonus*=0A=
for every 5 annuity applications=0A=
with any of
our four top carriers=0A=
by 9-30-02!=0A=
Deadline too soon? No Problem!=0A=
Earn an
$800 cash bonus*=0A=
for every 5 annuity applications=0A=
with any of our four
top carriers=0A=
by 12-31-02!
 	 =09
 	=20
Get your bonus! Call M&O Marketing today!
 800-862-0959
=97 or =97

Please fill out the form below for more information =09
Name:	 	  =09
E-mail:	 	=20
Phone:	 	=20
City:	 	 State:	 	=20
 	    =09
=20

*Bonuses awarded from M&O Marketing on paid, issued business. For agent
use only. Offer subject to change without notice. Offer starts 7/15/02.
Offer ends 12/31/02. Offer good in all states except: WI, IN, DE. Not
available with all carriers.

We don't want anyone to receive our mailings who does not wish to
receive them. This is a professional communication sent to insurance
professionals. To be removed from this mailing list, DO NOT REPLY to
this message. Instead, go here: http://www.insuranceiq.com/optout
<http://www.insuranceiq.com/optout/>=20

Legal Notice <http://www.insiq.com/legal.htm>=20
"
1,1.0," Welcome to Jefferson Pilot's
 Gateway to Wealth
 As one of the industry's premier producers, you must continually seek
qualified cutting edge services.
 Financial Profiles	
 Concept	Profiles+ Professional is a personal and business
analysis tool that analyzes a client's insurance, investment and
financial planning goals, to help them see their situation today
compared to their objectives. 	
 Market	Profiles+ Professional is an ideal tool for true financial
planning. It not only provides a thorough analysis, including asset
allocation, but it can calculate tax implications in a client's plan.
Due to its modular format, it can be used for specific planning needs,
as well as more comprehensive planning. 	
 Benefits
This software not only provides exceptional analysis, but excels in
providing simple as well as comprehensive presentation pages. By
uncovering multiple needs, producers sell more products.	 
 Deferral+	
 Concept	An internet-based ""sales-enabling"" service, which allows
users to quickly become successful in the deferred compensation (COLI)
market. 	
 Market	Focus on mid-market businesses. In the area of executive
benefits, the mid-market opportunity should be defined by either the
number of employees within a company, or more specifically by the number
of highly compensated executives within a company.	 
 Benefits
A turnkey program that includes qualification of prospect, marketing and
sales support, case design, plan documents and administration. 	
 G.I.F.T.	
 Concept	Global Insurance Funding Transaction (G.I.F.T.) is a
sophisticated premium-financing program that provides an alternative
funding mechanism for life products purchased to offset large estate and
corporate liabilities. 	
 Market	Clients with a high net worth of at least $10 million who have
an insurance need and believe their existing portfolio of investments,
when left unliquidated, will earn more then they will have to pay on
loan interest expenses. 	
 Benefits
G.I.F.T. offers compelling sales solutions, comprehensive supplemental
illustrations and access to a consortium of established banks willing
and able to lend in this market. Loans are available in both U.S.
dollars and Japanese Yen. 	
Please fill out the form below for more information	 
Name:	 	 
E-mail:	 	 
Phone:	 	 
City:	 	 State:	 	 Zip:	 	 
Primary Insurance Carrier:	 	 
Broker-Dealer:	 	 
 	  	 	
 
 	If you are currently contracted with any of the 
Jefferson Pilot Financial family of companies, 
please disregard this ad.
We don't want anybody to receive our mailing who does not wish to
receive them. This is a professional communication sent to insurance
professionals. To be removed from this mailing list, DO NOT REPLY to
this message. Instead, go here: http://www.insuranceiq.com/optout
Legal Notice <http://www.insuranceiq.com/legal.htm> 

"
2,1.0,"SGVscCB3YW50ZWQuICBXZSBhcmUgYSAxNCB5ZWFyIG9sZCBmb3J0dW5lIDUw
MCBjb21wYW55LCB0aGF0IGlzDQpncm93aW5nIGF0IGEgdHJlbWVuZG91cyBy
YXRlLiAgV2UgYXJlIGxvb2tpbmcgZm9yIGluZGl2aWR1YWxzIHdobw0Kd2Fu
dCB0byB3b3JrIGZyb20gaG9tZS4NCg0KVGhpcyBpcyBhbiBvcHBvcnR1bml0
eSB0byBtYWtlIGFuIGV4Y2VsbGVudCBpbmNvbWUuICBObyBleHBlcmllbmNl
DQppcyByZXF1aXJlZC4gIFdlIHdpbGwgdHJhaW4geW91Lg0KDQpTbyBpZiB5
b3UgYXJlIGxvb2tpbmcgdG8gYmUgZW1wbG95ZWQgZnJvbSBob21lIHdpdGgg
YSBjYXJlZXIgdGhhdCBoYXMNCnZhc3Qgb3Bwb3J0dW5pdGllcywgdGhlbiBn
bzoNCg0KaHR0cDovL3d3dy5iYXNldGVsLmNvbToyNzAwMC93ZWFsdGhub3cN
Cg0KV2UgYXJlIGxvb2tpbmcgZm9yIGVuZXJnZXRpYyBhbmQgc2VsZiBtb3Rp
dmF0ZWQgcGVvcGxlLiAgSWYgdGhhdCBpcyB5b3UNCnRoYW4gY2xpY2sgb24g
dGhlIGxpbmsgYW5kIGZpbGwgb3V0IHRoZSBmb3JtLCBhbmQgb25lIG9mIG91
cg0KZW1wbG95ZW1lbnQgc3BlY2lhbGlzdCB3aWxsIGNvbnRhY3QgeW91Lg0K
DQpUbyBiZSByZW1vdmVkIGZyb20gb3VyIGxpbmsgc2ltcGxlIGdvIHRvOg0K
DQpodHRwOi8vd3d3LmJhc2V0ZWwuY29tL3JlbW92ZS5odG1sDQoNCg==
"
3,1.0," ##################################################
#                                                #
#                 Adult Club                     #
#           Offers FREE Membership               #
#                                                #
##################################################

>>>>>  INSTANT ACCESS TO ALL SITES NOW
>>>>>  Your User Name And Password is.
>>>>>  User Name: zzzz@example.com
>>>>>  Password: 1534

3 of the Best Adult Sites on the Internet for FREE!

---------------------------------------

NEWS 08/15/02
With just over 2.9 Million Members that signed up for FREE, Last month
there were 721,184 New
Members. Are you one of them yet???

---------------------------------------

Our Membership FAQ

Q. Why are you offering free access to 3 adult membership sites for
free?
A. I have advertisers that pay me for ad space so you don't have to pay
for membership.

Q. Is it true my membership is for life?
A. Absolutely you'll never have to pay a cent the advertisers do.

Q. Can I give my account to my friends and family?
A. Yes, as long they are over the age of 18.

Q. Do I have to sign up for all 3 membership sites?
A. No just one to get access to all of them.

Q. How do I get started?
A. Click on one of the following links below to become a member.

- These are multi million dollar operations with policies and rules.
- Fill in the required info and they won't charge you for the Free pass!
- If you don't believe us, just read their terms and conditions.

---------------------------

new! > Tilthy Teen Sluts (added 08-15-02)
The Ultimate XXX TEEN Site... Its all for FREE!!
>>> Click Here:
http://www.bozombo.com/filthyteensluts/index.php?affid=1534
<a
href=""http://www.bozombo.com/filthyteensluts/index.php?affid=1534"">AOL
Users Click Here</a>

new! > Lucky Amateur Wives (added 08-08-02)
Amateur Wives Giving it up... Its all for FREE!!
http://www.bozombo.com/luckyamateurwives/index.php?affid=1534
<a
href=""http://www.bozombo.com/luckyamateurwives/index.php?affid=1534"">AOL
Users Click Here</a>

new! > BOOB RANCH (added 08-01-02)
See The Worlds Best Boobs On The Net... Its all for FREE!!
>>> Click Here: http://www.bozombo.com/hugetits/index.php?affid=1534
<a
href=""http://www.bozombo.com/luckyamateurwives/index.php?affid=1534"">AOL
Users Click Here</a>

--------------------------

Jennifer Simpson, Miami, FL
Your FREE lifetime membership has entertained my boyfriend and I for
the last two years!  Your Adult Sites are the best on the net!

Joe Morgan Manhattan, NY
Your live sex shows and live sex cams are unbelievable. The best part
about your porn sites, is that they're absolutely FREE!

--------------------------




















Removal Instructions And Disclaimer:
We are strongly against sending unsolicited emails to those who do not
wish to receive our special mailings. You have opted in to one or more
of our affiliate sites requesting to be notified of any special offers
we may run from time to time. We also have attained the services of an
independent 3rd party to overlook list management and removal services.
This is NOT unsolicited email. If you do not wish to receive further
mailings, please Click on this URL http://greenzer.com/remove.php or <a
href=""http://greenzer.com/remove.php"">AOL Users Click Here</a> to be
removed from the list. Please accept our apologies if you have been sent
this email in error. We honor all removal requests.


 
  
 

qvnckofayjfpfpsswkfvdrmcyljarjxw

"
4,1.0,"1) Join the Web's Hottest & Fastest Growing Community
It Is So Hot! <http://www.adclick.ws/p.cfm?o=259&s=pk007> 

2) Guaranteed to lose 10-12 lbs in 30 days
Slim Patch - Weight Loss Patches
<http://www.adclick.ws/p.cfm?o=249&s=pk007> 

3) Get the Child Support You Deserve
Free Legal Advice <http://www.adclick.ws/p.cfm?o=245&s=pk002> 

Have a Wonderful Day, 
Offer Manager











 <http://www.qves.com/trim/?zzzz@example.com%7C17%7C308417> 
"
5,1.0,"You can save thousands of dollars over the course of your loan with just a .25% drop in your rate! 

""Now is the time to take advantage of falling interest rates!  There is no advantage in waiting any longer.""

http://quotes.readyserve21.com/sure_quote/

Refinance or consolidate high interest credit card debt into a low interest mortgage.  Mortgage interest is tax deductible, whereas credit card interest is not.

Our nationwide network of lenders have hundreds of  different loan programs to fit your current situation:

   *  Refinance

   *  Second Mortgage

   *  Debt Consolidation

   *  Home Improvement

   *  Purchase

By clicking on the link below and filling out the form, the information you provide is instantly transmitted to our network of financial experts who will respond to your request with up to three offers.

This service is 100% free to homeowners, and of course, without obligation.

http://quotes.readyserve21.com/sure_quote/

Click here to delete your address from future updates.
http://quotes.readyserve21.com/sure_quote/rm/



"
6,1.0,"Mr.Vincent Nnaji,
 Standard Trust Bank Ltd,
 Lagos,Nigeria.
 Dear Sir,
 I am Mr.Vincent Nnaji, Bank Manager of Standard Trust Bank,Lagos,Nigeria. I have urgent and very confidential business proposition for you. 
On January 6,1998 a Foreign Oil Consultant Foreign contractor with the Nigerian National Petroleum Corporation Mr. James Herbert made a numbered time Fixed Deposit for twelve calendar months valued at US$20M ( Twenty Million United States Dollars) in my branch.
Upon maturity I sent a routine notification to his forwarding address but got no reply. After a month we sent a reminder and finally we discovered from his contract employers the Nigerian National Petroleum Corporation that Mr. James Herbert died from an automobile accident. 
On further investigation, I found out that he died without making a WILL and all attempts to trace his next of kin was fruitless. I therefore made further investigation and discovered that Mr.James Herbert did not declare any next of kin or relations in all his official documents including his Bank Deposit paperwork in my Bank. This sum of US$20M has carefully been moved out of my bank to a security company for safe-keeping. No one will ever come forward to claim it. 
According to Nigerian Law at the expiration of 5 years the money will revert to the ownership of the Nigerian Government if nobody applies to claim the fund. Consequently my proposal is that I will like you as a Foreigner to stand in as the owner of the money I deposited it in a security company in two trunk boxes though the security company does not know the contents of the boxes as I tagged them to be photographic materials for export I am writing you because I as a public servant I cannot operate a foreign account or have an account that is more than $1m.
 I want to present you as the owner of the boxes in the security company so you can be able to claim them with the help of my attorney. All these are to make sure that the fruits of this old man's labour will not get into the hands of some corrupt government officials. 
This is simple. I will like you to provide immediately your full names and address so that the Attorney will prepare the necessary documents which will put you in place as the owner of the boxes. The money will be shared in the ratio of 70% for me and 25% for you and 5% will take care of all expenses. 
There is no risk at all as all the paperwork for this transaction will be done by the Attorney and this will guarantee the successful execution of this transaction. If you are interested, please reply immediately via my private email address. 
Upon your response I shall then provide you with more details and relevant documents that will help you understand the transaction. Please observe with utmost confidentiality and be rest assured that this transaction would be most profitable for both of us because I shall require your assistance to invest my share in your country.
 Awaiting your urgent reply via my private email to indicate your interest. 
Thanks and Regards,
 MR.VINCENT NNAJI.



"
7,1.0,"Nationwide PC Repairs and Upgrades

*No call out charges.
*No hourly charges.
*Picked up from your home and returned safely anywhere in the UK.
*Diagnosed and repaired by certified engineer
*We will meet and beat any price

For more information click on the link below;

http://www.qpas.co.uk/pcclinic.htm




"
8,1.0,"<$B;v6H<T(B>
$B;aL>(B:Vip-mail
$BFMA3$N%a!<%k<:Ni$$$?$7$^$9!#(B
$B:#8e$3$N9-9p$,$4ITMW$JJ}$O$=$N;]$r(B
stop-vip@e-project-web.com
$B$^$G$*Aw$j2<$5$$!#(B

$B!y!z!y!z!y!z!y!z!y!z!y!z!y!z!y!z!y!z!y!z!y!z!y!z!y(B
$B""v%j%C%A$J=P2q$$$O(BVip-mail$B$G""v(B
Vip-mail$B$,%O%$%/%i%9$J=P2q$$$r%W%l%<%s%H!y(B
$B7HBS(B3$B%-%c%j%""$H(BPC$BBP1~$N=P2q$$%5%$%H""v(B
$B:#$^$G$N=P2q$$%5%$%H$KK0$-$??M(B!
$B=P2q$$$OM_$7$$$1$I%5%$%H$r;H$&$N$O$HLB$C$F$k?M(B!
$B:#D>$0(BVip-mail$B$K(BGo!!!!!
http://www.vip-jp.net/?sid=2
$B=w@-L5NA$OEv$?$jA0(B!?
$BCK@-$K$O$*;n$7%]%$%s%H(B50pt$B%W%l%<%s%H!y(B
$B=w@-$O%j%C%A$JCK@-$r(BGET$B$7$h$&(Bo($B!f""`!e(B)o
$BCK@-$O$*;n$7%]%$%s%H5$$KF~$C$?L<$r8+$D$1$h$&(B($B""`!c(B)b
$B=P2q$$$r5a$a$k$J$i(BVip-mail$B$K:#D>$0%""%/%;%9(B
$B""-""-""-""-""-""-""-""-""-""-""-""-""-""-(B
http://www.vip-jp.net/?sid=2
$B!y!z!y!z!y!z!y!z!y!z!y!z!y!z!y!z!y!z!y!z!y!z!y!z!y(B

$BFMA3$N%a!<%k<:Ni$$$?$7$^$7$?!#(B
$B:#8e$3$N9-9p$,$4ITMW$JJ}!""G[?.Dd;_$r4uK>$5$l$kJ}$O$=$N;]$r(B
stop-vip@e-project-web.com
$B$^$G$*Aw$j2<$5$$(B
"
9,1.0," The TBA Doctor Walks the Walk... On Diabetes!
 =20
 =20


Case 1:	 Case 2:	=20
? Male age 37
? Nonsmoker=20
? $500,000 Face
? Type 1 Diabetic - Treated with Insulin Pump
? Diagnosed at age 23
? Hospitalized in '95, '96 and '98 with
  ""Diabetic Complications""
? Issued Standard 	? Male age 51
? Nonsmoker=20
? $1,200,000 Face
? 6'0"", 237lbs=20
? Takes Micronase and Glucophage
? Issued Super Standard =09
Case 3:	 Case 4:	=20
? Female age 60
? Nonsmoker=20
? $2,000,000 Face
? 5'5"", 165lbs=20
? Insulin Dependent=20
? Issued Super Standard 	? Male age 45
? Nonsmoker=20
? $875,000 Face
? 6'4"", 275lbs
? Diabetes Controlled by Diet
? Issued Super Standard =09
Click here to provide the details on your ""tough case""
<http://nettrac.ipipeline.com/askdoctor/doctor.asp?gaid=3D0162> 	=20
Call the Doctor with your case details!
We've cured 1,000s of agents' ""tough cases!""
 800-624-4502 ext. 18=09
=97 or =97

Please fill out the form below for more information	=20
Name:	 	  =09
E-mail:	 	=20
Phone:	 	=20
City:	 	 State:	 	=20
 	    =09
=20

Tennessee Brokerage Agency - www.TBA.com <http://www.tba.com> =20
We don't want anyone to receive our mailings who does not wish to. This
is professional communication sent to insurance professionals. To be
removed from this mailing list, DO NOT REPLY to this message. Instead,
go here: http://www.InsuranceIQ.com/optout

Legal Notice <http://www.insuranceiq.com/legal.htm> =20
"
